name,state,fips,fill,transmission_level,mask
Gallatin County,Montana,30031,"rgb(255, 247, 14);",moderate,No Mask
Monroe County,Florida,12087,"rgb(255, 0, 0);",high,Mask
Lane County,Oregon,41039,"rgb(255, 113, 52);",substantial,Mask
Douglas County,Oregon,41019,"rgb(255, 0, 0);",high,Mask
Polk County,Oregon,41053,"rgb(255, 113, 52);",substantial,Mask
Lincoln County,Oregon,41041,"rgb(255, 247, 14);",moderate,No Mask
Benton County,Oregon,41003,"rgb(255, 113, 52);",substantial,Mask
Coos County,Oregon,41011,"rgb(255, 113, 52);",substantial,Mask
Jackson County,Oregon,41029,"rgb(255, 0, 0);",high,Mask
Curry County,Oregon,41015,"rgb(255, 247, 14);",moderate,No Mask
Josephine County,Oregon,41033,"rgb(255, 0, 0);",high,Mask
Del Norte County,California,06015,"rgb(255, 0, 0);",high,Mask
Humboldt County,California,06023,"rgb(255, 0, 0);",high,Mask
Trinity County,California,06105,"rgb(255, 0, 0);",high,Mask
Mendocino County,California,06045,"rgb(255, 113, 52);",substantial,Mask
Lake County,California,06033,"rgb(255, 0, 0);",high,Mask
Sonoma County,California,06097,"rgb(255, 113, 52);",substantial,Mask
Marin County,California,06041,"rgb(255, 113, 52);",substantial,Mask
San Juan County,Washington,53055,"rgb(255, 247, 14);",moderate,No Mask
Thurston County,Washington,53067,"rgb(255, 113, 52);",substantial,Mask
Cowlitz County,Washington,53015,"rgb(255, 113, 52);",substantial,Mask
Tillamook County,Oregon,41057,"rgb(255, 113, 52);",substantial,Mask
Clallam County,Washington,53009,"rgb(255, 113, 52);",substantial,Mask
Jefferson County,Washington,53031,"rgb(255, 247, 14);",moderate,No Mask
Kitsap County,Washington,53035,"rgb(255, 247, 14);",moderate,No Mask
Mason County,Washington,53045,"rgb(255, 247, 14);",moderate,No Mask
Grays Harbor County,Washington,53027,"rgb(255, 113, 52);",substantial,Mask
Pacific County,Washington,53049,"rgb(255, 0, 0);",high,Mask
Wahkiakum County,Washington,53069,"rgb(255, 247, 14);",moderate,No Mask
Clatsop County,Oregon,41007,"rgb(255, 247, 14);",moderate,No Mask
Columbia County,Oregon,41009,"rgb(255, 113, 52);",substantial,Mask
Washington County,Oregon,41067,"rgb(255, 247, 14);",moderate,No Mask
Yamhill County,Oregon,41071,"rgb(255, 113, 52);",substantial,Mask
Ferry County,Washington,53019,"rgb(255, 0, 0);",high,Mask
Stevens County,Washington,53065,"rgb(255, 247, 14);",moderate,No Mask
Okanogan County,Washington,53047,"rgb(255, 247, 14);",moderate,No Mask
Pend Oreille County,Washington,53051,"rgb(255, 247, 14);",moderate,No Mask
Lincoln County,Montana,30053,"rgb(255, 0, 0);",high,Mask
Flathead County,Montana,30029,"rgb(255, 0, 0);",high,Mask
Liberty County,Montana,30051,"rgb(29, 138, 255);",low,No Mask
Hill County,Montana,30041,"rgb(255, 247, 14);",moderate,No Mask
Blaine County,Montana,30005,"rgb(255, 0, 0);",high,Mask
Bonner County,Idaho,16017,"rgb(255, 247, 14);",moderate,No Mask
Shoshone County,Idaho,16079,"rgb(255, 0, 0);",high,Mask
Clearwater County,Idaho,16035,"rgb(255, 247, 14);",moderate,No Mask
Lewis County,Washington,53041,"rgb(255, 113, 52);",substantial,Mask
Idaho County,Idaho,16049,"rgb(255, 113, 52);",substantial,Mask
Madison County,Montana,30057,"rgb(255, 247, 14);",moderate,No Mask
Wasco County,Oregon,41065,"rgb(255, 113, 52);",substantial,Mask
Carbon County,Montana,30009,"rgb(255, 113, 52);",substantial,Mask
Clackamas County,Oregon,41005,"rgb(255, 113, 52);",substantial,Mask
Grant County,Washington,53025,"rgb(255, 247, 14);",moderate,No Mask
Whitman County,Washington,53075,"rgb(255, 247, 14);",moderate,No Mask
Latah County,Idaho,16057,"rgb(255, 0, 0);",high,Mask
Yakima County,Washington,53077,"rgb(255, 0, 0);",high,Mask
Franklin County,Washington,53021,"rgb(255, 0, 0);",high,Mask
Umatilla County,Oregon,41059,"rgb(255, 0, 0);",high,Mask
Morrow County,Oregon,41049,"rgb(255, 0, 0);",high,Mask
Union County,Oregon,41061,"rgb(255, 0, 0);",high,Mask
Multnomah County,Oregon,41051,"rgb(255, 247, 14);",moderate,No Mask
Benton County,Washington,53005,"rgb(255, 0, 0);",high,Mask
Skamania County,Washington,53059,"rgb(255, 247, 14);",moderate,No Mask
Clark County,Washington,53011,"rgb(255, 113, 52);",substantial,Mask
Klickitat County,Washington,53039,"rgb(255, 0, 0);",high,Mask
Gilliam County,Oregon,41021,"rgb(255, 0, 0);",high,Mask
Sherman County,Oregon,41055,"rgb(255, 0, 0);",high,Mask
Hood River County,Oregon,41027,"rgb(255, 247, 14);",moderate,No Mask
Chelan County,Washington,53007,"rgb(255, 113, 52);",substantial,Mask
Snohomish County,Washington,53061,"rgb(255, 0, 0);",high,Mask
Island County,Washington,53029,"rgb(255, 113, 52);",substantial,Mask
Douglas County,Washington,53017,"rgb(255, 0, 0);",high,Mask
King County,Washington,53033,"rgb(255, 113, 52);",substantial,Mask
Kittitas County,Washington,53037,"rgb(255, 0, 0);",high,Mask
Pierce County,Washington,53053,"rgb(255, 113, 52);",substantial,Mask
Spokane County,Washington,53063,"rgb(255, 0, 0);",high,Mask
Kootenai County,Idaho,16055,"rgb(255, 0, 0);",high,Mask
Lincoln County,Washington,53043,"rgb(255, 113, 52);",substantial,Mask
Benewah County,Idaho,16009,"rgb(255, 247, 14);",moderate,No Mask
Adams County,Washington,53001,"rgb(29, 138, 255);",low,No Mask
Garfield County,Washington,53023,"rgb(255, 113, 52);",substantial,Mask
Nez Perce County,Idaho,16069,"rgb(255, 0, 0);",high,Mask
Columbia County,Washington,53013,"rgb(255, 0, 0);",high,Mask
Walla Walla County,Washington,53071,"rgb(255, 0, 0);",high,Mask
Lewis County,Idaho,16061,"rgb(255, 113, 52);",substantial,Mask
Asotin County,Washington,53003,"rgb(255, 0, 0);",high,Mask
Wallowa County,Oregon,41063,"rgb(255, 0, 0);",high,Mask
Boundary County,Idaho,16021,"rgb(255, 247, 14);",moderate,No Mask
Whatcom County,Washington,53073,"rgb(255, 247, 14);",moderate,No Mask
Skagit County,Washington,53057,"rgb(255, 113, 52);",substantial,Mask
